id,Macro,Policy,Real Yields,Macro val,Policy val,Real Yields val,Real Yields val2,Real Yields val3
ARE,0,0,0,n/a,n/a,n/a,n/a,n/a
AUS,5,4,3,55.4794,"Easing, last move easing",0.701,1.9,2.601
AUT,5,0,1,57.976,n/a,-1.207,1.9,0.693
BEL,5,0,2,55.1197,n/a,-0.63,1.39,0.76
BRA,3,4,5,50.5938,"Easing, last move easing",6.812,2.68,9.492
CAN,5,1,2,55.4917,"Tightening, last move tightening",-0.212,2.3,2.088
CHE,5,4,2,63.6209,"Easing, last move easing",-0.799,0.8,0.001
CHL,0,4,5,n/a,"Easing, last move easing",2.982,1.8,4.782
CHN,5,4,4,52.2698,"Easing, last move easing",1.639,2.1,3.739
COL,0,4,5,n/a,"Easing, last move easing",3.366,3.14,6.506
CZE,5,4,3,57.1983,"Easing, last move easing",0.141,1.7,1.841
DEU,5,4,1,54.5549,"Easing, last move easing",-1.106,1.6,0.494
DNK,5,4,3,53.2537,"Easing, last move easing",0.032,0.5,0.532
EGY,0,0,0,n/a,n/a,n/a,n/a,n/a
ESP,0,0,0,n/a,n/a,n/a,n/a,n/a
FIN,0,0,0,n/a,n/a,n/a,n/a,n/a
FRA,5,4,2,56.9486,"Easing, last move easing",-0.882,1.6,0.718
GBR,5,2,1,53.2187,"Tightening, last move easing",-1.15,2.5,1.35
GRC,5,4,5,52.9375,"Easing, last move easing",4.522,-0.234,4.288
HUN,5,4,3,53.3,"Easing, last move easing",0.39,2,2.39
IDN,4,2,5,51.6234,"Tightening, last move easing",3.245,3.4,6.645
IND,4,4,5,51.85,"Easing, last move easing",3.116,4.28,7.396
IRL,0,0,0,n/a,n/a,n/a,n/a,n/a
ISR,0,0,0,n/a,n/a,n/a,n/a,n/a
ITA,0,0,0,n/a,n/a,n/a,n/a,n/a
JPN,5,4,1,53.1258,"Easing, last move easing",-1.056,1.1,0.044
KOR,2,2,4,48.4319,"Tightening, last move easing",1.329,1.3,2.629
LUX,0,0,0,n/a,n/a,n/a,n/a,n/a
MEX,4,1,5,51.5972,"Tightening, last move tightening",2.279,5.04,7.319
MYS,2,2,5,48.6021,"Tightening, last move easing",2.644,1.3,3.944
NLD,5,4,2,60.7313,"Easing, last move easing",-0.363,1,0.637
NOR,0,4,2,n/a,"Easing, last move easing",-0.361,2.2,1.839
NZL,5,4,4,58.925,"Easing, last move easing",1.618,1.1,2.718
PER,0,4,5,n/a,"Easing, last move easing",3.901,0.93,4.831
PHL,5,2,4,52.674,"Tightening, last move easing",1.753,4.3,6.053
POL,5,4,4,53.8996,"Easing, last move easing",1.864,1.3,3.164
PRT,0,0,0,n/a,n/a,n/a,n/a,n/a
QAT,0,2,0,n/a,"Tightening, last move easing",n/a,n/a,n/a
RUS,5,4,5,54.9126,"Easing, last move easing",4.645,2.4,7.045
SGP,5,0,5,58.4446,n/a,2.086,0.2,2.286
SWE,0,4,1,n/a,"Easing, last move easing",-1.222,1.9,0.678
THA,2,4,4,49.5154,"Easing, last move easing",1.605,0.79,2.395
TUR,2,2,4,48.9206,"Tightening, last move easing",2.035,10.23,12.265
TWN,5,4,2,54.7888,"Easing, last move easing",-0.5547,1.58,1.0253
USA,5,1,3,54.9103,"Tightening, last move tightening",0.3389,2.4,2.7389
ZAF,2,4,5,47.781,"Easing, last move easing",4.435,3.8,8.235
VNM,5,0,4,52.6522,n/a,1.59,2.66,4.25
ISL,0,4,5,n/a,"Easing, last move easing",2.22,2.8,5.02
SAU,5,2,0,55.9829,"Tightening, last move easing",n/a,n/a,n/a
