date	MSCI Euro Index	MSCI Euro Index 12-Month Forward EPS
2006-10-01	22.39	18.54
2006-11-01	17.86	16.52
2006-12-01	17.76	16.60
2007-01-01	15.75	16.20
2007-02-01	10.87	14.84
2007-03-01	10.92	14.23
2007-04-01	16.22	14.54
2007-05-01	27.17	13.18
2007-06-01	25.86	14.57
2007-07-01	20.19	14.46
2007-08-01	15.79	15.00
2007-09-01	14.89	14.63
2007-10-01	15.10	15.48
2007-11-01	11.39	15.27
2007-12-01	7.04	14.50
2008-01-01	-8.82	13.33
2008-02-01	-8.59	12.01
2008-03-01	-13.49	10.25
2008-04-01	-12.80	9.25
2008-05-01	-15.99	6.98
2008-06-01	-25.32	5.35
2008-07-01	-23.09	3.17
2008-08-01	-22.36	1.24
2008-09-01	-31.94	-0.39
2008-10-01	-44.06	-9.82
2008-11-01	-46.32	-18.05
2008-12-01	-45.89	-23.16
2009-01-01	-42.56	-28.30
2009-02-01	-48.12	-33.48
2009-03-01	-44.32	-37.23
2009-04-01	-39.44	-38.69
2009-05-01	-37.27	-39.93
2009-06-01	-30.02	-39.09
2009-07-01	-22.74	-38.37
2009-08-01	-19.12	-37.27
2009-09-01	-5.78	-35.24
2009-10-01	6.59	-28.28
2009-11-01	16.52	-20.07
2009-12-01	22.50	-13.56
2010-01-01	25.66	-5.68
2010-02-01	38.39	3.11
2010-03-01	42.67	10.87
2010-04-01	20.65	16.72
2010-05-01	8.98	22.85
2010-06-01	9.38	21.72
2010-07-01	5.95	23.13
2010-08-01	-3.17	24.50
2010-09-01	-2.22	22.28
2010-10-01	5.80	20.87
2010-11-01	-1.63	20.38
2010-12-01	-2.25	18.69
2011-01-01	8.33	17.81
2011-02-01	12.60	17.05
2011-03-01	1.58	16.72
2011-04-01	8.46	14.14
2011-05-01	11.86	12.47
2011-06-01	12.39	11.03
2011-07-01	-0.02	8.51
2011-08-01	-9.91	3.87
2011-09-01	-18.84	1.41
2011-10-01	-14.66	-2.50
2011-11-01	-11.85	-5.80
2011-12-01	-16.49	-6.55
2012-01-01	-16.49	-8.89
2012-02-01	-14.60	-9.90
2012-03-01	-12.35	-10.15
2012-04-01	-20.44	-10.46
2012-05-01	-23.63	-11.23
2012-06-01	-18.22	-11.63
2012-07-01	-10.85	-11.26
2012-08-01	7.34	-10.29
2012-09-01	14.46	-9.02
2012-10-01	6.81	-6.83
2012-11-01	12.47	-4.89
2012-12-01	15.65	-4.47
2013-01-01	13.31	-3.48
2013-02-01	7.26	-3.33
2013-03-01	7.82	-3.18
2013-04-01	17.63	-4.61
2013-05-01	30.68	-5.00
2013-06-01	15.74	-4.24
2013-07-01	19.40	-4.25
2013-08-01	12.67	-3.69
2013-09-01	18.75	-2.69
2013-10-01	23.34	-2.61
2013-11-01	21.55	-2.83
2013-12-01	19.60	-2.14
2014-01-01	13.26	-1.94
2014-02-01	19.99	-2.16
2014-03-01	20.21	-2.24
2014-04-01	18.57	-1.16
2014-05-01	17.67	-1.18
2014-06-01	24.15	-0.40
2014-07-01	13.04	0.08
2014-08-01	16.81	1.34
2014-09-01	11.28	1.78
2014-10-01	2.44	2.02
2014-11-01	5.86	2.14
2014-12-01	2.27	1.40
2015-01-01	12.65	0.72
2015-02-01	15.76	1.66
2015-03-01	18.80	2.38
2015-04-01	15.26	3.27
2015-05-01	12.60	4.64
2015-06-01	8.69	4.69
2015-07-01	17.76	5.82
2015-08-01	5.50	5.10
2015-09-01	-1.03	2.86
2015-10-01	11.99	2.18
2015-11-01	10.02	1.75
2015-12-01	6.08	1.08
2016-01-01	-7.29	0.01
2016-02-01	-16.42	-1.35
2016-03-01	-16.90	-2.62
2016-04-01	-14.67	-3.73
2016-05-01	-12.78	-4.53
2016-06-01	-14.75	-4.90
2016-07-01	-14.78	-6.02
2016-08-01	-5.22	-5.87
2016-09-01	-0.49	-3.86
2016-10-01	-8.19	-1.87
2016-11-01	-10.99	-0.35
2016-12-01	1.74	0.79
2017-01-01	7.24	3.93
2017-02-01	13.67	6.59
2017-03-01	17.05	7.72
2017-04-01	18.45	9.57
2017-05-01	17.17	10.35
2017-06-01	21.59	10.60
2017-07-01	16.39	10.91
2017-08-01	14.01	10.90
2017-09-01	19.41	10.24
