date	Federal Funds Rate Target	10-Year U.S. Treasury Yield	2017	2018	2019	2020
1/1/95	5.5	7.78	1.375	2.125	2.688	2.875
2/1/95	6	7.47				
3/1/95	6	7.2				
4/1/95	6	7.06				
5/1/95	6	6.63				
6/1/95	6	6.17				
7/1/95	5.7903	6.28				
8/1/95	5.75	6.49				
9/1/95	5.75	6.2				
10/1/95	5.75	6.04				
11/1/95	5.75	5.93				
12/1/95	5.6452	5.71				
1/1/96	5.4919	5.65				
2/1/96	5.25	5.81				
3/1/96	5.25	6.27				
4/1/96	5.25	6.51				
5/1/96	5.25	6.74				
6/1/96	5.25	6.91				
7/1/96	5.25	6.87				
8/1/96	5.25	6.64				
9/1/96	5.25	6.83				
10/1/96	5.25	6.53				
11/1/96	5.25	6.2				
12/1/96	5.25	6.3				
1/1/97	5.25	6.58				
2/1/97	5.25	6.42				
3/1/97	5.3065	6.69				
4/1/97	5.5	6.89				
5/1/97	5.5	6.71				
6/1/97	5.5	6.49				
7/1/97	5.5	6.22				
8/1/97	5.5	6.3				
9/1/97	5.5	6.21				
10/1/97	5.5	6.03				
11/1/97	5.5	5.88				
12/1/97	5.5	5.81				
1/1/98	5.5	5.54				
2/1/98	5.5	5.57				
3/1/98	5.5	5.65				
4/1/98	5.5	5.64				
5/1/98	5.5	5.65				
6/1/98	5.5	5.5				
7/1/98	5.5	5.46				
8/1/98	5.5	5.34				
9/1/98	5.4833	4.81				
10/1/98	5.1129	4.53				
11/1/98	4.8833	4.83				
12/1/98	4.75	4.65				
1/1/99	4.75	4.72				
2/1/99	4.75	5				
3/1/99	4.75	5.23				
4/1/99	4.75	5.18				
5/1/99	4.75	5.54				
6/1/99	4.7583	5.9				
7/1/99	5	5.79				
8/1/99	5.0645	5.94				
9/1/99	5.25	5.92				
10/1/99	5.25	6.11				
11/1/99	5.375	6.03				
12/1/99	5.5	6.28				
1/1/00	5.5	6.66				
2/1/00	5.7414	6.52				
3/1/00	5.8387	6.26				
4/1/00	6	5.99				
5/1/00	6.2581	6.44				
