id	Macro	Policy	Real Yields	Macro val	Policy val	Real Yields val	Real Yields val2	Real Yields val3
ARE	0	0	0	n/a	n/a	n/a	n/a	n/a
AUS	5	4	4	53.8	"Easing, last move easing"	0.814	1.9	2.714
AUT	5	4	1	59.4	"Easing, last move easing"	-1.542	2.1	0.558
BEL	5	4	1	56.7	"Easing, last move easing"	-1.237	1.9	0.663
BRA	4	4	5	51.1	"Easing, last move easing"	7.515	2.46	9.975
CAN	5	1	3	55	"Tightening, last move tightening"	0.447	1.4	1.847
CHE	5	4	2	61.7	"Easing, last move easing"	-0.67	0.5	-0.17
CHL	0	4	4	n/a	"Easing, last move easing"	2.45	1.9	4.35
CHN	5	4	5	52.4	"Easing, last move easing"	1.856	1.8	3.656
COL	0	4	4	n/a	"Easing, last move easing"	2.859	3.87	6.729
CZE	5	4	1	56.6	"Easing, last move easing"	-1.542	2.5	0.958
DEU	5	4	1	57.7	"Easing, last move easing"	-1.44	1.8	0.36
DNK	5	4	2	60.3	"Easing, last move easing"	-1.01	1.5	0.49
EGY	0	0	0	n/a	n/a	n/a	n/a	n/a
ESP	0	0	0	n/a	n/a	n/a	n/a	n/a
FIN	0	0	0	n/a	n/a	n/a	n/a	n/a
FRA	5	4	2	57.1	"Easing, last move easing"	-0.24	0.9	0.66
GBR	5	4	1	54.1	"Easing, last move easing"	-1.866	2.9	1.034
GRC	5	4	5	52.8	"Easing, last move easing"	4.588	0.892	5.48
HUN	5	4	3	59.3	"Easing, last move easing"	0.331	2.6	2.931
IDN	3	4	5	50.4	"Easing, last move easing"	2.847	3.82	6.667
IND	4	4	5	51.1	"Easing, last move easing"	3.169	3.36	6.529
IRL	0	0	0	n/a	n/a	n/a	n/a	n/a
ISR	0	0	0	n/a	n/a	n/a	n/a	n/a
ITA	0	0	0	n/a	n/a	n/a	n/a	n/a
JPN	4	4	2	51.7	"Easing, last move easing"	-0.696	0.7	0.004
KOR	3	4	2	50.6	"Easing, last move easing"	-0.01	2.6	2.266
LUX	0	0	0	n/a	n/a	n/a	n/a	n/a
MEX	5	1	4	52.8	"Tightening, last move tightening"	0.175	6.66	6.835
MYS	2	3	2	49.9	"Easing, last move tightening"	0.191	3.7	3.891
NLD	5	4	2	60	"Easing, last move easing"	-0.909	1.4	0.491
NOR	0	4	2	n/a	"Easing, last move easing"	0.223	1.3	1.523
NZL	5	4	5	57.9	"Easing, last move easing"	1.266	1.7	2.966
PER	0	4	5	n/a	"Easing, last move easing"	2.304	2.99	5.294
PHL	3	3	4	50.8	"Easing, last move tightening"	1.557	3.1	4.657
POL	5	4	4	53.7	"Easing, last move easing"	1.484	1.8	3.284
PRT	0	0	0	n/a	n/a	n/a	n/a	n/a
QAT	0	4	0	n/a	"Easing, last move easing"	n/a	n/a	n/a
RUS	5	4	5	54.8	"Easing, last move easing"	4.445	3.3	7.745
SWE	0	4	2	n/a	"Easing, last move easing"	-1.305	2.1	0.795
THA	3	4	4	50.3	"Easing, last move easing"	1.996	0.32	2.316
TUR	5	2	2	53.5	"Tightening, last move easing"	-0.32	10.68	10.36
TWN	5	4	3	54.2	"Easing, last move easing"	0.049	0.96	1.009
USA	5	1	2	54.8	"Tightening, last move tightening"	0.217	1.9	2.117
ZAF	2	3	5	47.7	"Easing, last move tightening"	3.76	4.8	8.56
VNM	5	0	4	53.3	n/a	1.65	3.35	5
ISL	0	4	5	n/a	"Easing, last move easing"	3.2	1.7	4.9
SAU	5	4	0	62.4	"Easing, last move easing"	n/a	n/a	n/a
