date,MSCI Euro Index,MSCI Euro Index 12-Month Forward EPS
2006-10-01,22.39,18.81
2006-11-01,17.86,16.72
2006-12-01,17.76,16.82
2007-01-01,15.75,16.42
2007-02-01,10.87,15.05
2007-03-01,10.92,14.41
2007-04-01,16.22,14.70
2007-05-01,27.17,13.33
2007-06-01,25.86,14.62
2007-07-01,20.19,14.38
2007-08-01,15.79,14.98
2007-09-01,14.89,14.61
2007-10-01,15.10,15.12
2007-11-01,11.39,14.80
2007-12-01,7.04,13.92
2008-01-01,-8.82,13.24
2008-02-01,-8.59,11.86
2008-03-01,-13.49,10.14
2008-04-01,-12.80,9.22
2008-05-01,-15.99,6.97
2008-06-01,-25.32,5.44
2008-07-01,-23.09,3.28
2008-08-01,-22.36,1.33
2008-09-01,-31.94,-0.42
2008-10-01,-44.06,-9.61
2008-11-01,-46.32,-17.80
2008-12-01,-45.89,-23.07
2009-01-01,-42.56,-28.45
2009-02-01,-48.12,-33.82
2009-03-01,-44.32,-37.46
2009-04-01,-39.44,-38.72
2009-05-01,-37.27,-39.89
2009-06-01,-30.02,-39.12
2009-07-01,-22.74,-38.32
2009-08-01,-19.12,-37.29
2009-09-01,-5.78,-35.18
2009-10-01,6.59,-28.21
2009-11-01,16.52,-20.00
2009-12-01,22.50,-13.26
2010-01-01,25.66,-5.44
2010-02-01,38.39,3.66
2010-03-01,42.67,11.67
2010-04-01,20.65,16.85
2010-05-01,8.98,22.66
2010-06-01,9.38,21.63
2010-07-01,5.95,22.86
2010-08-01,-3.17,24.40
2010-09-01,-2.22,22.17
2010-10-01,5.80,20.70
2010-11-01,-1.63,20.46
2010-12-01,-2.25,18.88
2011-01-01,8.33,17.86
2011-02-01,12.60,17.14
2011-03-01,1.58,16.20
2011-04-01,8.46,13.91
2011-05-01,11.86,12.39
2011-06-01,12.39,10.91
2011-07-01,-0.02,8.44
2011-08-01,-9.91,3.69
2011-09-01,-18.84,1.26
2011-10-01,-14.66,-2.59
2011-11-01,-11.85,-6.07
2011-12-01,-16.49,-6.89
2012-01-01,-16.49,-9.08
2012-02-01,-14.60,-10.08
2012-03-01,-12.35,-10.16
2012-04-01,-20.44,-10.47
2012-05-01,-23.63,-11.29
2012-06-01,-18.22,-11.60
2012-07-01,-10.85,-11.27
2012-08-01,7.34,-10.23
2012-09-01,14.46,-9.00
2012-10-01,6.81,-6.82
2012-11-01,12.47,-4.88
2012-12-01,15.65,-4.50
2013-01-01,13.31,-3.57
2013-02-01,7.26,-3.39
2013-03-01,7.82,-3.25
2013-04-01,17.63,-4.66
2013-05-01,30.68,-5.06
2013-06-01,15.74,-4.32
2013-07-01,19.40,-4.31
2013-08-01,12.67,-3.76
2013-09-01,18.75,-2.73
2013-10-01,23.34,-2.63
2013-11-01,21.55,-2.85
2013-12-01,19.60,-2.15
2014-01-01,13.26,-1.93
2014-02-01,19.99,-2.14
2014-03-01,20.21,-2.22
2014-04-01,18.57,-1.16
2014-05-01,17.67,-1.14
2014-06-01,24.15,-0.37
2014-07-01,13.04,0.09
2014-08-01,16.81,1.38
2014-09-01,11.28,1.79
2014-10-01,2.44,2.02
2014-11-01,5.86,2.16
2014-12-01,2.27,1.40
2015-01-01,12.65,0.64
2015-02-01,15.76,1.48
2015-03-01,18.80,2.40
2015-04-01,15.26,3.34
2015-05-01,12.60,4.53
2015-06-01,8.69,4.75
2015-07-01,17.76,5.90
2015-08-01,5.50,5.14
2015-09-01,-1.03,2.95
2015-10-01,11.99,2.24
2015-11-01,10.02,1.76
2015-12-01,6.08,1.08
2016-01-01,-7.29,-0.09
2016-02-01,-16.42,-1.36
2016-03-01,-16.90,-2.71
2016-04-01,-14.67,-3.77
2016-05-01,-12.78,-4.45
2016-06-01,-14.75,-5.00
2016-07-01,-14.78,-6.10
2016-08-01,-5.22,-5.93
2016-09-01,-0.49,-3.96
2016-10-01,-8.19,-1.95
2016-11-01,-10.99,-0.40
2016-12-01,1.74,0.78
2017-01-01,7.24,4.08
2017-02-01,13.67,6.79
2017-03-01,17.05,7.82
2017-04-01,18.45,9.53
2017-05-01,17.17,10.33
2017-06-01,21.59,10.53
2017-07-01,16.39,10.93
2017-08-01,14.01,10.88
2017-09-01,19.41,10.17
2017-10-01,20.25,9.60
